Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,lat,lng
USA,Seattle,University of Washington,Computer Science,Bachelor,4.0,39800,85.6,2000,160,1500,1.0,47.6038321,-122.330062
USA,Madison,University of Wisconsin-Madison,Computer Science,Bachelor,4.0,37500,71.2,1600,160,1500,1.0,43.074761,-89.3837613
USA,Urbana,University of Illinois Urbana-Champaign,Computer Science,Bachelor,4.0,36800,70.5,1500,160,1500,1.0,40.1117174,-88.207301
USA,Atlanta,Georgia Tech,Computer Science,Bachelor,4.0,33500,76.8,1700,160,1500,1.0,33.7544657,-84.3898151
USA,Columbus,Ohio State University,Computer Science,Bachelor,4.0,32800,71.4,1400,160,1500,1.0,39.9622601,-83.0007065
USA,West Lafayette,Purdue University,Computer Science,Bachelor,4.0,31500,68.9,1300,160,1500,1.0,40.4258686,-86.9080655
USA,Gainesville,University of Florida,Computer Science,Bachelor,4.0,28500,70.2,1400,160,1500,1.0,29.6519684,-82.3249846
USA,Tempe,Arizona State University,Computer Science,Bachelor,4.0,28000,72.5,1500,160,1500,1.0,33.4255117,-111.940016
USA,Raleigh,NC State University,Computer Science,Bachelor,4.0,27500,71.8,1400,160,1500,1.0,35.7803977,-78.6390989
USA,College Station,Texas A&M University,Computer Science,Bachelor,4.0,27000,69.5,1300,160,1500,1.0,30.6183939,-96.3455991
USA,Corvallis,Oregon State University,Computer Science,Bachelor,4.0,26500,70.1,1300,160,1500,1.0,44.5645659,-123.2620435
UK,Cambridge,University of Cambridge,Computer Science,Bachelor,3.0,38500,78.5,1800,490,800,0.79,52.2055314,0.1186637
UK,Oxford,University of Oxford,Computer Science,Bachelor,3.0,37900,77.8,1850,490,800,0.79,51.7520131,-1.2578499
UK,London,Imperial College London,Computer Science,Bachelor,3.0,37500,83.2,2200,490,800,0.79,51.5074456,-0.1277653
UK,London,University College London,Computer Science,Bachelor,3.0,36800,83.2,2100,490,800,0.79,51.5074456,-0.1277653
UK,London,King's College London,Computer Science,Bachelor,3.0,35500,83.2,2000,490,800,0.79,51.5074456,-0.1277653
UK,Edinburgh,University of Edinburgh,Computer Science,Bachelor,4.0,32500,75.4,1600,490,800,0.79,55.9533456,-3.1883749
UK,Manchester,University of Manchester,Computer Science,Bachelor,3.0,31800,72.1,1400,490,800,0.79,53.4794892,-2.2451148
UK,Bristol,University of Bristol,Computer Science,Bachelor,3.0,31500,74.8,1500,490,800,0.79,51.4538022,-2.5972985
UK,Warwick,University of Warwick,Computer Science,Bachelor,3.0,31200,71.5,1300,490,800,0.79,52.2814519,-1.5815742
UK,Glasgow,University of Glasgow,Computer Science,Bachelor,4.0,30800,73.2,1400,490,800,0.79,55.861155,-4.2501687
UK,Birmingham,University of Birmingham,Computer Science,Bachelor,3.0,30500,71.8,1300,490,800,0.79,52.4796992,-1.9026911
UK,Leeds,University of Leeds,Computer Science,Bachelor,3.0,30200,71.2,1250,490,800,0.79,53.7974185,-1.5437941
UK,Sheffield,University of Sheffield,Computer Science,Bachelor,3.0,29800,70.5,1200,490,800,0.79,53.3806626,-1.4702278
UK,Nottingham,University of Nottingham,Computer Science,Bachelor,3.0,29500,70.8,1150,490,800,0.79,52.9534193,-1.1496461
UK,Southampton,University of Southampton,Computer Science,Bachelor,3.0,29200,72.4,1300,490,800,0.79,50.9025349,-1.404189
UK,Durham,Durham University,Computer Science,Bachelor,3.0,28900,71.6,1250,490,800,0.79,54.666667,-1.75
UK,Liverpool,University of Liverpool,Computer Science,Bachelor,3.0,28600,70.2,1100,490,800,0.79,53.4071991,-2.99168
UK,Cardiff,Cardiff University,Computer Science,Bachelor,3.0,28300,69.8,1050,490,800,0.79,51.4816546,-3.1791934
UK,Newcastle,Newcastle University,Computer Science,Bachelor,3.0,28000,70.1,1100,490,800,0.79,54.9738474,-1.6131572
UK,Aberdeen,University of Aberdeen,Computer Science,Bachelor,4.0,27700,69.5,1000,490,800,0.79,57.1482429,-2.0928095
UK,Leicester,University of Leicester,Computer Science,Bachelor,3.0,27400,68.9,950,490,800,0.79,52.6362,-1.1331969
UK,Reading,University of Reading,Computer Science,Bachelor,3.0,27100,71.2,1150,490,800,0.79,51.4514953,-0.9836342
UK,Sussex,University of Sussex,Computer Science,Bachelor,3.0,26800,72.5,1200,490,800,0.79,50.9445139,-0.0622673
UK,Essex,University of Essex,Computer Science,Bachelor,3.0,26500,69.8,1000,490,800,0.79,51.7704679,0.4646698
UK,Bath,University of Bath,Computer Science,Bachelor,3.0,26200,73.4,1250,490,800,0.79,51.3813864,-2.3596963
UK,Surrey,University of Surrey,Computer Science,Bachelor,3.0,25900,71.8,1150,490,800,0.79,51.2715316,-0.3414524
UK,Exeter,University of Exeter,Computer Science,Bachelor,3.0,25600,72.1,1200,490,800,0.79,50.7256138,-3.5269209
UK,Kent,University of Kent,Computer Science,Bachelor,3.0,25300,70.5,1100,490,800,0.79,51.2070748,0.7210362
UK,Dundee,University of Dundee,Computer Science,Bachelor,4.0,25000,68.9,950,490,800,0.79,56.4605938,-2.97019
UK,Strathclyde,University of Strathclyde,Computer Science,Bachelor,4.0,24700,69.2,1000,490,800,0.79,55.8618812,-4.2419566
UK,Heriot-Watt,Heriot-Watt University,Computer Science,Bachelor,4.0,24400,69.5,1050,490,800,0.79,55.9102958,-3.3234475
UK,Loughborough,Loughborough University,Computer Science,Bachelor,3.0,24100,68.5,900,490,800,0.79,52.7723859,-1.2077985
UK,Brunel,Brunel University London,Computer Science,Bachelor,3.0,23800,83.2,1800,490,800,0.79,51.3970056,0.5323455
UK,Queen Mary,Queen Mary University of London,Computer Science,Bachelor,3.0,23500,83.2,1900,490,800,0.79,53.4092381,-2.9839443
UK,Royal Holloway,Royal Holloway University,Computer Science,Bachelor,3.0,23200,75.5,1400,490,800,0.79,51.4659,0.4811
UK,Lancaster,Lancaster University,Computer Science,Bachelor,3.0,22900,69.8,1000,490,800,0.79,54.047001,-2.801000
UK,Swansea,Swansea University,Computer Science,Bachelor,3.0,22600,68.5,950,490,800,0.79,51.621441,-3.943646
UK,Aston,Aston University,Computer Science,Bachelor,3.0,22300,71.8,1200,490,800,0.79,52.4874129, -1.8903548
UK,Hull,University of Hull,Computer Science,Bachelor,3.0,22000,67.9,850,490,800,0.79,53.7623862,-0.3301214
UK,Keele,Keele University,Computer Science,Bachelor,3.0,21700,67.5,800,490,800,0.79,53.004353,-2.267430
UK,Plymouth,University of Plymouth,Computer Science,Bachelor,3.0,21400,69.2,950,490,800,0.79, 50.376289, -4.143841
UK,Portsmouth,University of Portsmouth,Computer Science,Bachelor,3.0,21100,70.5,1000,490,800,0.79,50.805832, -1.087222
UK,Ulster,Ulster University,Computer Science,Bachelor,3.0,20800,67.2,800,490,800,0.79,54.5742432,-6.9481599
UK,Northumbria,Northumbria University,Computer Science,Bachelor,3.0,20500,68.5,900,490,800,0.79,54.92732,-7.9395
UK,Coventry,Coventry University,Computer Science,Bachelor,3.0,20200,69.8,950,490,800,0.79,52.4081812,-1.510477
UK,Oxford Brookes,Oxford Brookes University,Computer Science,Bachelor,3.0,19900,77.8,1500,490,800,0.79,51.7543,-1.2227
UK,De Montfort,De Montfort University,Computer Science,Bachelor,3.0,19600,68.9,900,490,800,0.79,52.6297,-1.1390
UK,Westminster,University of Westminster,Computer Science,Bachelor,3.0,19300,83.2,1800,490,800,0.79,51.5004439,-0.1265398
UK,Greenwich,University of Greenwich,Computer Science,Bachelor,3.0,19000,83.2,1700,490,800,0.79,51.477928, -0.001545
UK,Kingston,Kingston University,Computer Science,Bachelor,3.0,18700,83.2,1600,490,800,0.79,51.4126,-0.2974
Canada,Toronto,University of Toronto,Computer Science,Bachelor,4.0,45200,73.5,1800,235,600,1.35,43.6534817,-79.3839347
Canada,Toronto,University of Toronto,Computer Science,Master,2.0,28500,73.5,1800,235,600,1.35,43.6534817,-79.3839347
Canada,Vancouver,University of British Columbia,Computer Science,Bachelor,4.0,43800,71.2,1900,235,600,1.35,49.2608724,-123.113952
Canada,Vancouver,University of British Columbia,Computer Science,Master,2.0,27900,71.2,1900,235,600,1.35,49.2608724,-123.113952
Canada,Montreal,McGill University,Computer Science,Bachelor,4.0,41500,65.8,1500,235,600,1.35,45.508888,-73.561668
Canada,Montreal,McGill University,Computer Science,Master,2.0,26800,65.8,1500,235,600,1.35,45.508888,-73.561668
Canada,Waterloo,University of Waterloo,Computer Science,Bachelor,4.0,40900,62.4,1300,235,600,1.35,43.4652699,-80.5222961
Canada,Waterloo,University of Waterloo,Computer Science,Master,2.0,26200,62.4,1300,235,600,1.35,43.4652699,-80.5222961
Canada,Montreal,University of Montreal,Computer Science,Bachelor,4.0,39500,65.8,1400,235,600,1.35,45.508888,-73.561668
Canada,Montreal,University of Montreal,Computer Science,Master,2.0,25800,65.8,1400,235,600,1.35,45.508888,-73.561668
Canada,Edmonton,University of Alberta,Computer Science,Bachelor,4.0,38200,61.9,1200,235,600,1.35,53.5462055,-113.491241
Canada,Edmonton,University of Alberta,Computer Science,Master,2.0,24900,61.9,1200,235,600,1.35,53.5462055,-113.491241
Canada,Ottawa,University of Ottawa,Computer Science,Bachelor,4.0,37800,63.5,1400,235,600,1.35,45.4208777,-75.6901106
Canada,Ottawa,University of Ottawa,Computer Science,Master,2.0,24500,63.5,1400,235,600,1.35,45.4208777,-75.6901106
Canada,Calgary,University of Calgary,Computer Science,Bachelor,4.0,37200,62.8,1300,235,600,1.35,51.0456064,-114.057541
Canada,Calgary,University of Calgary,Computer Science,Master,2.0,24100,62.8,1300,235,600,1.35,51.0456064,-114.057541
Canada,Hamilton,McMaster University,Computer Science,Bachelor,4.0,36500,64.2,1250,235,600,1.35,43.2560802,-79.8728583
Canada,Hamilton,McMaster University,Computer Science,Master,2.0,23800,64.2,1250,235,600,1.35,43.2560802,-79.8728583
Canada,London,Western University,Computer Science,Bachelor,4.0,35900,61.5,1200,235,600,1.35,42.96750,-81.23250
Canada,London,Western University,Computer Science,Master,2.0,23500,61.5,1200,235,600,1.35,42.96750,-81.23250
Canada,Kingston,Queen's University,Computer Science,Bachelor,4.0,35400,62.1,1300,235,600,1.35,44.3054151,-76.4283781
Canada,Kingston,Queen's University,Computer Science,Master,2.0,23200,62.1,1300,235,600,1.35,44.3054151,-76.4283781
Canada,Victoria,University of Victoria,Computer Science,Bachelor,4.0,34800,64.8,1400,235,600,1.35,48.4283182,-123.364953
Canada,Victoria,University of Victoria,Computer Science,Master,2.0,22900,64.8,1400,235,600,1.35,48.4283182,-123.364953
Canada,Halifax,Dalhousie University,Computer Science,Bachelor,4.0,34200,61.2,1200,235,600,1.35,44.648618,-63.5859487
Canada,Halifax,Dalhousie University,Computer Science,Master,2.0,22600,61.2,1200,235,600,1.35,44.648618,-63.5859487
Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4.0,33600,59.8,1100,235,600,1.35,49.8955367,-97.1384584
Canada,Winnipeg,University of Manitoba,Computer Science,Master,2.0,22300,59.8,1100,235,600,1.35,49.8955367,-97.1384584
Canada,Quebec City,Laval University,Computer Science,Bachelor,4.0,33000,58.5,1000,235,600,1.35,46.8137431,-71.2084061
Canada,Quebec City,Laval University,Computer Science,Master,2.0,22000,58.5,1000,235,600,1.35,46.8137431,-71.2084061
Canada,Saskatoon,University of Saskatchewan,Computer Science,Bachelor,4.0,32400,58.2,950,235,600,1.35,52.131802,-106.660767
Canada,Saskatoon,University of Saskatchewan,Computer Science,Master,2.0,21700,58.2,950,235,600,1.35,52.131802,-106.660767
Canada,St. John's,Memorial University,Computer Science,Bachelor,4.0,31800,57.9,900,235,600,1.35,47.5614705,-52.7126162
Canada,St. John's,Memorial University,Computer Science,Master,2.0,21400,57.9,900,235,600,1.35,47.5614705,-52.7126162
Canada,Regina,University of Regina,Computer Science,Bachelor,4.0,31200,57.5,900,235,600,1.35,50.4479733,-104.6158764
Canada,Regina,University of Regina,Computer Science,Master,2.0,21100,57.5,900,235,600,1.35,50.4479733,-104.6158764
Canada,Sherbrooke,University of Sherbrooke,Computer Science,Bachelor,4.0,30600,56.8,850,235,600,1.35,45.403271,-71.889038
Canada,Sherbrooke,University of Sherbrooke,Computer Science,Master,2.0,20800,56.8,850,235,600,1.35,45.403271,-71.889038
Canada,Windsor,University of Windsor,Computer Science,Bachelor,4.0,30000,58.9,950,235,600,1.35,42.2858536,-82.9780695
Canada,Windsor,University of Windsor,Computer Science,Master,2.0,20500,58.9,950,235,600,1.35,42.2858536,-82.9780695
Canada,Moncton,University of New Brunswick,Computer Science,Bachelor,4.0,29400,57.2,900,235,600,1.35,46.090946,-64.790497
Canada,Moncton,University of New Brunswick,Computer Science,Master,2.0,20200,57.2,900,235,600,1.35,46.090946,-64.790497
Canada,Trois-Rivieres,UQTR,Computer Science,Bachelor,4.0,28800,56.5,850,235,600,1.35,46.3432325,-72.5428485
Canada,Trois-Rivieres,UQTR,Computer Science,Master,2.0,19900,56.5,850,235,600,1.35,46.3432325,-72.5428485
Canada,Thunder Bay,Lakehead University,Computer Science,Bachelor,4.0,28200,56.2,800,235,600,1.35,48.406414,-89.259796
Canada,Thunder Bay,Lakehead University,Computer Science,Master,2.0,19600,56.2,800,235,600,1.35,48.406414,-89.259796
Canada,Sudbury,Laurentian University,Computer Science,Bachelor,4.0,27600,55.8,800,235,600,1.35,46.49272,-80.991211
Canada,Sudbury,Laurentian University,Computer Science,Master,2.0,19300,55.8,800,235,600,1.35,46.49272,-80.991211
Canada,Prince George,UNBC,Computer Science,Bachelor,4.0,27000,55.5,750,235,600,1.35,53.916943,-122.749443
Canada,Prince George,UNBC,Computer Science,Master,2.0,19000,55.5,750,235,600,1.35,53.916943,-122.749443
Australia,Melbourne,University of Melbourne,Computer Science,Bachelor,3.0,42500,72.8,1800,450,650,1.52,-37.8142454,144.9631732
Australia,Melbourne,University of Melbourne,Computer Science,Master,2.0,45800,72.8,1800,450,650,1.52,-37.8142454,144.9631732
Australia,Melbourne,University of Melbourne,Computer Science,PhD,4.0,35000,72.8,1800,450,650,1.52,-37.8142454,144.9631732
Australia,Sydney,University of Sydney,Computer Science,Bachelor,3.0,41800,74.5,2000,450,650,1.52,-33.8698439,151.2082848
Australia,Sydney,University of Sydney,Computer Science,Master,2.0,44900,74.5,2000,450,650,1.52,-33.8698439,151.2082848
Australia,Sydney,University of Sydney,Computer Science,PhD,4.0,34500,74.5,2000,450,650,1.52,-33.8698439,151.2082848
Australia,Canberra,Australian National University,Computer Science,Bachelor,3.0,41200,68.9,1600,450,650,1.52,-35.2975906,149.1012676
Australia,Canberra,Australian National University,Computer Science,Master,2.0,44200,68.9,1600,450,650,1.52,-35.2975906,149.1012676
Australia,Canberra,Australian National University,Computer Science,PhD,4.0,34000,68.9,1600,450,650,1.52,-35.2975906,149.1012676
Australia,Brisbane,University of Queensland,Computer Science,Bachelor,3.0,40500,69.2,1500,450,650,1.52,-27.470125,153.021072
Australia,Brisbane,University of Queensland,Computer Science,Master,2.0,43500,69.2,1500,450,650,1.52,-27.470125,153.021072
Australia,Brisbane,University of Queensland,Computer Science,PhD,4.0,33500,69.2,1500,450,650,1.52,-27.470125,153.021072
Australia,Sydney,University of New South Wales,Computer Science,Bachelor,3.0,40200,74.5,1900,450,650,1.52,-33.8698439,151.2082848
Australia,Sydney,University of New South Wales,Computer Science,Master,2.0,43200,74.5,1900,450,650,1.52,-33.8698439,151.2082848
Australia,Sydney,University of New South Wales,Computer Science,PhD,4.0,33200,74.5,1900,450,650,1.52,-33.8698439,151.2082848
Australia,Melbourne,Monash University,Computer Science,Bachelor,3.0,39800,72.8,1700,450,650,1.52,-37.8142454,144.9631732
Australia,Melbourne,Monash University,Computer Science,Master,2.0,42800,72.8,1700,450,650,1.52,-37.8142454,144.9631732
Australia,Melbourne,Monash University,Computer Science,PhD,4.0,32800,72.8,1700,450,650,1.52,-37.8142454,144.9631732
Australia,Adelaide,University of Adelaide,Computer Science,Bachelor,3.0,39200,67.5,1400,450,650,1.52,-34.9281805,138.5999312
Australia,Adelaide,University of Adelaide,Computer Science,Master,2.0,42200,67.5,1400,450,650,1.52,-34.9281805,138.5999312
Australia,Adelaide,University of Adelaide,Computer Science,PhD,4.0,32200,67.5,1400,450,650,1.52,-34.9281805,138.5999312
Australia,Perth,University of Western Australia,Computer Science,Bachelor,3.0,38800,68.2,1500,450,650,1.52,-31.9558967,115.8605784
Australia,Perth,University of Western Australia,Computer Science,Master,2.0,41800,68.2,1500,450,650,1.52,-31.9558967,115.8605784
Australia,Perth,University of Western Australia,Computer Science,PhD,4.0,31800,68.2,1500,450,650,1.52,-31.9558967,115.8605784
Australia,Brisbane,Queensland University of Technology,Computer Science,Bachelor,3.0,38200,69.2,1400,450,650,1.52,-27.470125,153.021072
Australia,Brisbane,Queensland University of Technology,Computer Science,Master,2.0,41200,69.2,1400,450,650,1.52,-27.470125,153.021072
Australia,Brisbane,Queensland University of Technology,Computer Science,PhD,4.0,31200,69.2,1400,450,650,1.52,-27.470125,153.021072
Australia,Sydney,University of Technology Sydney,Computer Science,Bachelor,3.0,37800,74.5,1800,450,650,1.52,-33.8698439,151.2082848
Australia,Sydney,University of Technology Sydney,Computer Science,Master,2.0,40800,74.5,1800,450,650,1.52,-33.8698439,151.2082848
Australia,Sydney,University of Technology Sydney,Computer Science,PhD,4.0,30800,74.5,1800,450,650,1.52,-33.8698439,151.2082848
Australia,Melbourne,RMIT University,Computer Science,Bachelor,3.0,37200,72.8,1600,450,650,1.52,-37.8142454,144.9631732
Australia,Melbourne,RMIT University,Computer Science,Master,2.0,40200,72.8,1600,450,650,1.52,-37.8142454,144.9631732
Australia,Melbourne,RMIT University,Computer Science,PhD,4.0,30200,72.8,1600,450,650,1.52,-37.8142454,144.9631732
Australia,Wollongong,University of Wollongong,Computer Science,Bachelor,3.0,36800,65.8,1300,450,650,1.52,-34.4243941,150.89385
Australia,Wollongong,University of Wollongong,Computer Science,Master,2.0,39800,65.8,1300,450,650,1.52,-34.4243941,150.89385
Australia,Wollongong,University of Wollongong,Computer Science,PhD,4.0,29800,65.8,1300,450,650,1.52,-34.4243941,150.89385
Australia,Newcastle,University of Newcastle,Computer Science,Bachelor,3.0,36200,66.2,1300,450,650,1.52,-32.9192953,151.7795348
Australia,Newcastle,University of Newcastle,Computer Science,Master,2.0,39200,66.2,1300,450,650,1.52,-32.9192953,151.7795348
Australia,Newcastle,University of Newcastle,Computer Science,PhD,4.0,29200,66.2,1300,450,650,1.52,-32.9192953,151.7795348
Australia,Hobart,University of Tasmania,Computer Science,Bachelor,3.0,35800,64.5,1200,450,650,1.52,-42.8825088,147.3281233
Australia,Hobart,University of Tasmania,Computer Science,Master,2.0,38800,64.5,1200,450,650,1.52,-42.8825088,147.3281233
Australia,Hobart,University of Tasmania,Computer Science,PhD,4.0,28800,64.5,1200,450,650,1.52,-42.8825088,147.3281233
Australia,Gold Coast,Griffith University,Computer Science,Bachelor,3.0,35200,68.5,1400,450,650,1.52,-28.0023731,153.4145987
Australia,Gold Coast,Griffith University,Computer Science,Master,2.0,38200,68.5,1400,450,650,1.52,-28.0023731,153.4145987
Australia,Gold Coast,Griffith University,Computer Science,PhD,4.0,28200,68.5,1400,450,650,1.52,-28.0023731,153.4145987
Australia,Canberra,University of Canberra,Computer Science,Bachelor,3.0,34800,68.9,1500,450,650,1.52,-35.2975906,149.1012676
Australia,Canberra,University of Canberra,Computer Science,Master,2.0,37800,68.9,1500,450,650,1.52,-35.2975906,149.1012676
Australia,Canberra,University of Canberra,Computer Science,PhD,4.0,27800,68.9,1500,450,650,1.52,-35.2975906,149.1012676
Australia,Townsville,James Cook University,Computer Science,Bachelor,3.0,34200,65.2,1200,450,650,1.52,-19.2569391,146.8239537
Australia,Townsville,James Cook University,Computer Science,Master,2.0,37200,65.2,1200,450,650,1.52,-19.2569391,146.8239537
Australia,Townsville,James Cook University,Computer Science,PhD,4.0,27200,65.2,1200,450,650,1.52,-19.2569391,146.8239537
Australia,Armidale,University of New England,Computer Science,Bachelor,3.0,33800,63.8,1100,450,650,1.52,-30.5144881,151.6656564
Australia,Armidale,University of New England,Computer Science,Master,2.0,36800,63.8,1100,450,650,1.52,-30.5144881,151.6656564
Australia,Armidale,University of New England,Computer Science,PhD,4.0,26800,63.8,1100,450,650,1.52,-30.5144881,151.6656564
Australia,Toowoomba,University of Southern Queensland,Computer Science,Bachelor,3.0,33200,64.2,1100,450,650,1.52,-27.566668,151.949997
Australia,Toowoomba,University of Southern Queensland,Computer Science,Master,2.0,36200,64.2,1100,450,650,1.52,-27.566668,151.949997
Australia,Toowoomba,University of Southern Queensland,Computer Science,PhD,4.0,26200,64.2,1100,450,650,1.52,-27.566668,151.949997
Australia,Ballarat,Federation University,Computer Science,Bachelor,3.0,32800,63.5,1000,450,650,1.52,-37.549999,143.850006
Australia,Ballarat,Federation University,Computer Science,Master,2.0,35800,63.5,1000,450,650,1.52,-37.549999,143.850006
Australia,Ballarat,Federation University,Computer Science,PhD,4.0,25800,63.5,1000,450,650,1.52,-37.549999,143.850006
Australia,Lismore,Southern Cross University,Computer Science,Bachelor,3.0,32200,63.2,1000,450,650,1.52,-28.81354, 153.2773
Australia,Lismore,Southern Cross University,Computer Science,Master,2.0,35200,63.2,1000,450,650,1.52,-28.81354, 153.2773
Australia,Lismore,Southern Cross University,Computer Science,PhD,4.0,25200,63.2,1000,450,650,1.52,-28.81354, 153.2773
USA,Boston,MIT,Computer Science,Master,2.0,58000,82.1,2100,160,1500,1.0,42.3554334,-71.060511
UK,London,Imperial College London,Data Science,Master,1.0,42000,75.3,1800,485,800,0.79,51.5074456,-0.1277653
Germany,Munich,TU Munich,Mechanical Engineering,Master,2.0,0,71.5,1200,110,900,0.92,48.1371079,11.5753822
Canada,Toronto,University of Toronto,Business Analytics,Master,2.0,45000,73.8,1700,235,750,1.35,43.6534817,-79.3839347
Australia,Melbourne,University of Melbourne,Artificial Intelligence,PhD,4.0,29000,72.4,1500,450,650,1.52,-37.8142454,144.9631732
USA,Stanford,Stanford University,Physics,PhD,5.0,52000,84.3,2300,160,1500,1.0,37.4265407,-122.1703055
UK,Edinburgh,University of Edinburgh,Chemistry,Master,2.0,38000,67.8,1100,485,800,0.79,55.9533456,-3.1883749
Germany,Berlin,Humboldt University,Computer Science,Bachelor,3.0,0,68.9,950,110,900,0.92,52.510885,13.3989367
Canada,Vancouver,University of British Columbia,Environmental Science,Master,2.0,42000,71.2,1600,235,750,1.35,49.2608724,-123.113952
Australia,Sydney,University of Sydney,Biotechnology,PhD,4.0,31000,75.6,1700,450,650,1.52,-33.8698439,151.2082848
USA,Berkeley,UC Berkeley,Mathematics,Master,2.0,54000,83.2,2000,160,1500,1.0,37.8708393,-122.272863
UK,Manchester,University of Manchester,Engineering,Bachelor,3.0,35000,65.4,900,485,800,0.79,53.4794892,-2.2451148
Germany,Hamburg,University of Hamburg,Physics,Master,2.0,0,69.8,1100,110,900,0.92,53.550341,10.000654
Canada,Montreal,McGill University,Computer Science,PhD,4.0,38000,68.9,1400,235,750,1.35,45.508888,-73.561668
Australia,Brisbane,University of Queensland,Data Science,Master,2.0,32000,68.7,1200,450,650,1.52,-27.470125,153.021072
USA,New York,Columbia University,Economics,Master,2.0,62000,100.0,2500,160,1500,1.0,40.7127281,-74.0060152
UK,Oxford,University of Oxford,Computer Science,PhD,4.0,40000,71.5,1400,485,800,0.79,51.7520131,-1.2578499
Germany,Dresden,TU Dresden,Mechanical Engineering,Bachelor,3.0,0,65.4,800,110,900,0.92,51.0493286,13.7381437
Canada,Ottawa,University of Ottawa,Artificial Intelligence,Master,2.0,40000,67.8,1300,235,750,1.35,45.4208777,-75.6901106
Australia,Perth,University of Western Australia,Physics,Master,2.0,30000,67.2,1100,450,650,1.52,-31.9558967,115.8605784
USA,Atlanta,Georgia Tech,Engineering,PhD,5.0,48000,71.2,1700,160,1500,1.0,33.7544657,-84.3898151
UK,Bristol,University of Bristol,Data Science,Master,2.0,36000,68.9,1200,485,800,0.79,51.4538022,-2.5972985
Germany,Frankfurt,Goethe University,Computer Science,Master,2.0,0,72.3,1300,110,900,0.92,50.110924,8.682127
Canada,Calgary,University of Calgary,Mathematics,Bachelor,4.0,35000,65.4,1200,235,750,1.35,51.0456064,-114.057541
Australia,Adelaide,University of Adelaide,Chemistry,PhD,4.0,28000,64.5,1000,450,650,1.52,-34.9281805,138.5999312
USA,Los Angeles,UCLA,Computer Science,Master,2.0,52000,79.8,2200,160,1500,1.0,34.0536909,-118.242766
UK,Glasgow,University of Glasgow,Physics,Bachelor,3.0,34000,64.5,950,485,800,0.79,55.861155,-4.2501687
Germany,Stuttgart,University of Stuttgart,Engineering,Master,2.0,0,68.7,1100,110,900,0.92,48.7784485,9.1800132
Canada,Edmonton,University of Alberta,Data Science,Master,2.0,37000,64.3,1100,235,750,1.35,53.5462055,-113.491241
Australia,Canberra,Australian National University,Computer Science,PhD,4.0,33000,69.8,1300,450,650,1.52,-35.2975906,149.1012676
USA,Austin,UT Austin,Mathematics,Master,2.0,45000,68.9,1600,160,1500,1.0,30.2711286,-97.7436995
UK,Leeds,University of Leeds,Chemistry,PhD,4.0,35000,63.2,900,485,800,0.79,53.7974185,-1.5437941
Germany,Heidelberg,Heidelberg University,Physics,Bachelor,3.0,0,67.8,1000,110,900,0.92,49.4093582,8.694724
Canada,Halifax,Dalhousie University,Engineering,Master,2.0,36000,63.4,1000,235,750,1.35,44.648618,-63.5859487
Australia,Gold Coast,Griffith University,Data Science,Master,2.0,29000,65.4,1100,450,650,1.52,-28.0023731,153.4145987
USA,Seattle,University of Washington,Computer Science,PhD,5.0,50000,77.8,2000,160,1500,1.0,47.6038321,-122.330062
UK,Sheffield,University of Sheffield,Engineering,Master,2.0,33000,62.3,850,485,800,0.79,53.3806626,-1.4702278
Germany,Cologne,University of Cologne,Mathematics,Master,2.0,0,69.8,1200,110,900,0.92,50.935173,6.953101
Canada,Quebec City,Laval University,Physics,Bachelor,3.0,34000,62.1,900,235,750,1.35,46.8137431,-71.2084061
Australia,Newcastle,University of Newcastle,Chemistry,Master,2.0,27000,63.2,950,450,650,1.52,-32.9192953,151.7795348
USA,Pittsburgh,Carnegie Mellon,Data Science,Master,2.0,56000,65.4,1500,160,1500,1.0,40.4416941,-79.9900861
UK,Nottingham,University of Nottingham,Computer Science,PhD,4.0,34000,61.2,800,485,800,0.79,52.9534193,-1.1496461
Germany,Bonn,University of Bonn,Engineering,Master,2.0,0,67.8,1100,110,900,0.92,50.73438, 7.09549
Canada,Victoria,University of Victoria,Mathematics,Master,2.0,35000,64.5,1100,235,750,1.35,48.4283182,-123.364953
Australia,Hobart,University of Tasmania,Physics,Bachelor,3.0,26000,62.1,900,450,650,1.52,-42.8825088,147.3281233
USA,San Diego,UC San Diego,Chemistry,PhD,5.0,49000,75.6,1900,160,1500,1.0,32.7174202,-117.162772
UK,Durham,Durham University,Engineering,Master,2.0,35000,63.4,900,485,800,0.79,54.666667,-1.75
Germany,Aachen,RWTH Aachen,Computer Science,Bachelor,3.0,0,68.9,1000,110,900,0.92,50.776351,6.083862
Canada,Winnipeg,University of Manitoba,Data Science,Master,2.0,33000,61.2,900,235,750,1.35,49.8955367,-97.1384584
Australia,Wollongong,University of Wollongong,Mathematics,PhD,4.0,28000,63.4,950,450,650,1.52,-34.4243941,150.89385
USA,San Francisco,UC Berkeley Extension,Data Science,Master,2.0,52000,95.2,2400,160,1500,1.0,37.7749,-122.4194
UK,London,King's College London,Computer Science,Master,1.0,39000,75.3,1900,485,800,0.79,51.5074456,-0.1277653
Switzerland,Zurich,ETH Zurich,Computer Science,Master,2.0,1500,122.4,2000,140,1200,0.89,47.3744489,8.5410422
